;;;
PEDIDO DE COMPRA - S.I.N IMPLANTES;;;
PEDIDO DE COMPRA - ;;;
COD;PRODUTOS;ESTOQUE;PEDIDO
560879;Enxerto Ósseo Bovino Lumina-Bone (MÉDIO);;
560886;Enxerto Ósseo Bovino Lumina-Bone (GROSSO);;
AN4100;ANALOGO 4,1MM;;
ANMA4800;ANALOGO;;
ANMU;ANALOGO ;;
CI4104;CICATRIZADOR DE TITÂNIO ;;
CI4156;CICATRIZADOR DE TITÂNIO ;;
CIMU 3315;CICATRIZADOR DE TITÂNIO ;;
CIMU3335;CICATRIZADOR DE TITANIO;;
CIMU3345;CICATRIZADOR DE TITANIO;;
CIMU 3355;CICATRIZADOR DE TITANIO;;
CIMU4508;CICATRIZADOR DE TITÂNIO ;;
CIMU4515;CICATRIZADOR DE TITÂNIO ;;
SA4855T;IMPLANTE CM 4,0 X 8,5;;
SA4105T;IMPLANTE CM 4,0 X 10;;
SA4115T;IMPLANTE CM 4,0 X 11,5;;
SA4135T;IMPLANTE CM 4,0 X 13;;
SA4155T;IMPLANTE CM 4,0 X 15;;
;IMPLANTE HE  3,75 X 7MM;;
;IMPLANTE HE 3,25 X 11,5MM;;
;IMPLANTE CM 3,5 X 8,5MM;;
;IMPLANTE CM 3,5 X 10MM;;
;IMPLANTE CM 3,5 X 11,5MM;;
;IMPLANTE CM 3,5 X 13 MM;;
;IMPLANTE CM 3,75 X 15MM;;
CIMU4525;CICATRIZADOR DE TITÂNIO ;;
CIMU4535;CICATRIZADOR DE TITÂNIO ;;
CIMU4545;CICATRIZADOR DE TITANIO;;
CIMU4555;CICATRIZADOR DE TITANIO;;
CIMUS 3315;CICATRIZADOR MORSE;;
CPM4800-2;CILINDRO CALCINÁVEL E CR-CO ANGULADO PLASTICO;;
CPM4800-3;CILINDRO CALCINÁVEL PLASTICO;;
EUCLAMU 4501-H;ABUTMENT EUCLA;;
EUCLAMU 4504-H;ABUTMENT EUCLA;;
EUCLAMU3501-H;ABUTMENT EUCLA;;
EUCLAMU3504-H;ABUTMENT EUCLA;;
EXFN;FIX. DE FRESA 16 DRILL EXTENSION;;
MA4101;MINI-ABUTMENT RETO ;;
MA4102;MINI-ABUTMENT RETO ;;
MA4103;MINI-ABUTMENT RETO ;;
MA4104;MINI-ABUTMENT RETO ;;
MAA3604;MINI-ABUTMENT ANGULADO 17º;;
MAA4102;MINI-ABUTMENT ANGULADO 17º;;
MAA4103;MINI-ABUTMENT ANGULADO 17º;;
MAA4132;MINI-ABUTMENT ANGULADO 30º;;
MAA4134;MINI-ABUTMENT ANGULADO 30º;;
MAMA1715I;MINI-ABUTMENT ANGULADO INDEX;;
MAMA1725I;MINI-ABUTMENT ANGULADO INDEX;;
MAMA1735I;MINI-ABUTMENT ANGULADO INDEX;;
MAMA3015I;MINI-ABUTMENT ANGULADO INDEX;;
